ID,spend,email,source,freeship,corn,eastofmiss,repeatorder
9815343,111,corporate,search,0,0,0,0
9815112,149,popular,search,1,0,0,0
9814781,122,other,referral,1,1,0,0
9814729,45,corporate,search,0,1,0,0
9814632,116,other,search,0,1,1,0
9813391,47,popular,referral,1,1,0,0
9813313,115,corporate,direct,0,0,1,0
9811736,104,popular,search,0,0,0,1
9811135,136,popular,direct,1,1,0,1
9811101,206,corporate,direct,1,0,0,1
9810912,29,corporate,referral,1,0,0,0
9809517,191,popular,search,1,1,0,1
9806244,127,other,referral,0,1,0,0
9806083,101,popular,search,1,1,1,0
9805246,65,other,search,0,1,1,0
9804944,126,corporate,direct,0,0,0,0
9802736,97,other,search,1,0,0,0
9802624,51,other,search,0,1,1,0
9801648,108,corporate,referral,1,0,0,0
9800022,155,other,direct,0,1,1,0
9798875,190,other,search,1,0,0,0
9798837,118,corporate,direct,0,0,0,0
9798063,207,other,direct,1,1,0,1
9796796,83,popular,referral,1,0,0,0
9796503,156,corporate,direct,1,0,0,1
9794840,116,other,referral,1,0,1,0
9794371,206,other,search,0,1,1,0
9792243,171,popular,search,1,0,0,0
9791605,109,popular,direct,1,1,0,1
9790815,199,corporate,search,0,0,0,0
9790617,117,other,referral,1,1,1,0
9790281,148,corporate,search,0,1,0,1
9789976,70,corporate,search,1,0,1,1
9788079,114,corporate,referral,1,1,1,0
9787694,217,other,search,1,0,1,1
9786143,109,corporate,direct,1,1,0,1
9785109,109,corporate,search,0,1,0,0
9783880,66,other,referral,1,0,1,0
9783873,144,corporate,search,0,0,0,0
9783600,42,corporate,direct,0,0,0,0
9783016,172,corporate,referral,1,1,0,1
9782739,130,other,referral,0,0,0,0
9781494,138,other,referral,0,1,0,0
9781471,37,popular,search,0,1,1,0
9781240,21,corporate,search,1,0,1,0
9780646,218,other,direct,1,1,1,1
9779505,47,other,referral,1,1,0,0
9778834,213,corporate,search,1,0,0,1
9778786,88,popular,direct,1,1,1,0
9776709,68,corporate,direct,1,1,1,0
9774038,86,other,direct,0,1,0,0
9772852,119,corporate,search,1,0,0,0
9772811,175,popular,referral,1,0,0,0
9772238,27,popular,referral,1,0,1,0
9772168,158,other,referral,0,0,0,0
9771945,31,popular,referral,0,0,0,0
9770670,217,popular,search,1,1,1,0
9769722,59,popular,direct,1,0,1,0
9769702,83,corporate,direct,1,1,1,1
9768735,198,popular,direct,0,0,0,0
9767184,74,corporate,direct,0,1,0,1
9765790,149,popular,direct,1,1,0,1
9765650,96,popular,referral,1,1,0,0
9764440,127,corporate,search,1,1,0,1
9762903,41,popular,direct,0,1,1,0
9762805,118,popular,direct,0,0,0,0
9761215,147,other,direct,0,1,1,0
9761018,210,popular,referral,1,0,0,0
9758554,24,other,referral,1,1,0,0
9758410,75,other,direct,0,0,1,0
9758201,212,other,referral,1,1,0,1
9758068,124,corporate,direct,0,1,1,0
9757492,36,other,search,0,0,1,0
9756748,131,popular,referral,0,1,1,0
9755876,159,popular,direct,1,0,1,0
9754864,85,other,search,0,1,0,0
9753741,117,popular,referral,0,1,0,0
9753687,29,other,direct,0,1,1,1
9752944,100,corporate,search,0,0,1,0
9751744,187,other,referral,1,0,0,0
9751615,74,popular,referral,0,0,0,1
9750705,212,corporate,direct,0,1,1,1
9750360,141,popular,direct,0,0,0,0
9749333,200,popular,referral,0,1,0,1
9747746,111,corporate,search,0,0,1,0
9747267,68,other,search,1,0,0,0
9746967,218,corporate,search,0,0,1,0
9746872,84,corporate,referral,0,0,1,0
9745667,173,popular,direct,1,1,0,1
9745347,137,popular,direct,1,1,1,0
9745122,60,other,referral,0,0,1,0
9744455,43,other,referral,0,0,0,0
9743878,201,other,search,1,1,0,1
9743694,154,popular,direct,0,1,1,0
9743477,166,other,direct,0,0,0,0
9743121,32,popular,search,0,1,0,0
9743021,67,corporate,direct,0,1,1,0
9740686,24,popular,search,0,1,0,0
9740435,215,corporate,search,1,0,1,0
9740385,150,corporate,search,1,1,0,1
9739822,146,other,referral,1,1,1,0
9736006,185,corporate,search,1,0,1,1
9735130,101,other,search,1,0,1,0
9734469,142,other,direct,0,0,0,0
9734351,103,other,referral,0,1,0,0
9732684,54,other,referral,0,0,1,0
9730927,162,other,referral,0,1,0,0
9726229,196,other,search,1,1,0,1
9724873,130,popular,direct,1,0,1,1
9722322,217,corporate,referral,0,0,0,0
9722285,72,other,referral,0,1,1,0
9721399,70,other,direct,0,1,1,0
9719320,174,other,direct,1,0,1,0
9716432,118,popular,direct,0,1,1,0
9715107,32,other,search,1,0,0,0
9714995,83,other,search,1,0,0,0
9714747,38,popular,referral,1,1,1,0
9714656,161,popular,search,1,0,1,0
9712260,171,popular,direct,1,1,1,0
9710935,167,other,referral,0,0,0,0
9710727,47,corporate,referral,0,1,0,0
9710366,181,other,referral,1,0,1,0
9709705,63,other,direct,0,1,1,0
9709543,210,corporate,direct,0,0,0,0
9708240,96,corporate,search,1,0,1,0
9707892,176,popular,referral,1,0,0,0
9706755,136,corporate,referral,1,1,1,1
9706214,91,popular,referral,1,1,0,0
9705967,20,other,direct,0,0,0,0
9705152,177,popular,direct,1,1,1,0
9704557,62,popular,direct,1,0,0,0
9704529,164,corporate,direct,0,1,0,1
9703665,184,other,search,1,0,0,0
9702776,88,corporate,referral,1,0,1,0
9699309,140,popular,search,0,1,0,1
9698953,192,popular,direct,0,0,0,0
9698419,136,other,search,1,0,0,0
9698276,60,other,search,0,1,0,0
9697365,66,popular,direct,0,0,1,0
9696228,36,other,search,0,1,1,0
9695680,30,popular,search,1,0,0,0
9694815,217,corporate,search,1,0,0,1
9694785,158,other,search,1,1,1,0
9693336,156,other,referral,0,0,0,0
9692266,98,corporate,referral,1,0,0,0
9690953,182,popular,search,0,0,0,0
9690276,94,popular,direct,0,0,0,0
9690264,103,corporate,search,1,1,0,1
9689771,87,other,referral,0,1,0,0
9689457,26,popular,direct,0,0,0,0
9689030,174,corporate,search,1,1,0,1
9685625,195,other,referral,1,0,0,0
9683756,73,other,referral,1,1,0,1
9683694,168,corporate,referral,1,0,1,0
9682449,164,other,referral,1,0,1,0
9680938,148,other,search,0,0,1,0
9680702,33,other,direct,1,0,0,0
9678979,89,other,referral,1,0,1,0
9678411,64,other,direct,0,0,1,0
9678265,142,other,search,0,0,0,0
9677995,194,other,search,1,1,0,1
9675623,125,other,referral,1,1,0,1
9674623,62,corporate,referral,1,0,1,0
9674393,56,other,search,0,0,1,0
9674289,117,corporate,direct,0,1,1,0
9674016,178,popular,direct,1,0,1,1
9673052,86,other,direct,1,0,1,0
9670746,48,popular,referral,1,1,1,0
9670533,140,corporate,direct,1,0,1,0
9670172,43,popular,referral,0,1,0,0
9669291,28,popular,referral,0,1,1,0
9668912,209,other,referral,0,0,1,0
9667409,142,popular,direct,1,0,0,0
9667398,174,other,referral,0,1,0,1
9666982,33,corporate,referral,0,0,0,0
9663924,63,other,search,1,0,1,1
9662953,82,other,referral,1,0,1,0
9662715,173,popular,direct,0,0,1,0
9662611,74,popular,search,0,0,0,0
9662427,110,corporate,referral,0,0,0,0
9661446,74,corporate,direct,1,0,1,1
9660864,21,other,search,1,1,0,1
9658364,99,other,search,1,0,1,0
9658329,123,other,direct,1,1,0,1
9655020,156,other,referral,1,0,0,0
9654991,150,other,referral,1,0,0,0
9654121,85,corporate,search,0,0,1,0
9653154,214,corporate,direct,1,0,1,1
9653010,183,corporate,referral,0,0,0,0
9652858,187,corporate,search,0,1,1,0
9651290,84,popular,search,0,1,1,0
9650330,160,popular,search,0,0,1,0
9650216,116,corporate,direct,0,1,0,1
9647398,168,other,referral,1,1,0,1
9645990,197,popular,direct,0,1,1,0
9645754,173,popular,referral,0,0,0,0
9643869,45,corporate,direct,0,0,0,0
9643680,180,corporate,search,0,0,0,0
9642259,200,corporate,search,0,0,1,1
9640827,52,corporate,referral,0,1,1,0
9639649,145,other,direct,1,1,0,1
9639258,152,corporate,search,1,0,0,1
9638317,74,popular,referral,1,0,0,0
9637539,170,other,referral,1,1,0,1
9637018,50,corporate,referral,1,1,1,0
9635809,75,popular,direct,1,0,0,0
9634157,127,popular,search,1,1,1,0
9633961,159,corporate,search,0,1,1,0
9633518,147,popular,search,0,0,0,0
9631730,213,corporate,search,0,0,0,0
9630904,205,corporate,search,0,0,0,0
9629285,72,popular,direct,1,0,0,0
9628665,207,popular,referral,0,0,0,1
9628064,207,corporate,referral,0,1,1,0
9627840,217,other,referral,0,0,1,0
9627498,26,other,search,0,1,0,0
9627203,100,popular,search,1,0,0,0
9626842,158,other,direct,0,0,0,0
9625033,99,other,direct,1,0,0,0
9624514,125,other,direct,0,0,0,0
9623798,119,other,direct,1,0,1,0
9623730,97,other,direct,0,0,1,0
9623173,52,corporate,referral,1,1,1,0
9622180,88,corporate,direct,1,0,0,0
9620681,84,corporate,referral,1,1,0,1
9618888,208,other,direct,1,1,1,1
9618323,93,corporate,direct,0,1,0,1
9616146,164,popular,referral,0,0,1,0
9615910,142,popular,direct,0,0,0,0
9614522,84,popular,search,0,1,0,0
9613847,199,other,search,0,0,0,0
9613667,59,popular,direct,1,1,0,1
9612923,99,corporate,referral,0,1,0,1
9611920,58,corporate,search,1,1,1,0
9608612,170,other,direct,0,0,1,0
9604088,60,corporate,search,1,0,0,0
9600425,35,popular,direct,1,1,1,0
9599718,132,corporate,referral,1,0,1,1
9596274,45,corporate,direct,0,1,0,0
9595392,81,corporate,referral,0,1,0,1
9594910,83,other,referral,1,0,1,0
9594582,166,popular,referral,0,0,0,0
9593763,88,corporate,search,0,1,0,1
9592790,57,corporate,direct,0,0,1,0
9590571,21,popular,referral,1,1,0,0
9589733,23,other,referral,0,1,0,0
9588465,108,corporate,referral,0,1,1,1
9587545,141,corporate,direct,1,0,0,0
9587005,60,popular,direct,0,1,0,0
9585108,118,popular,direct,0,0,0,1
9584389,30,popular,referral,1,1,0,0
9582941,213,other,direct,0,1,1,0
9582602,78,corporate,direct,1,1,0,1
9582301,137,popular,search,1,1,1,0
9582199,67,other,search,0,1,0,0
9581752,86,other,referral,0,0,1,0
9580013,116,other,referral,1,1,1,0
9579139,111,popular,referral,1,1,1,0
9578858,149,other,direct,0,1,1,0
9577957,209,corporate,referral,1,1,0,1
9577292,208,corporate,referral,1,0,1,0
9577172,64,other,direct,1,0,1,0
9576950,53,corporate,referral,0,1,1,0
9575199,92,corporate,referral,1,0,0,0
9574576,111,corporate,direct,0,1,1,0
9574372,82,other,direct,0,1,1,0
9572680,143,other,direct,0,0,1,0
9571500,26,popular,search,1,0,1,0
9570161,34,popular,search,0,0,0,0
9570117,206,other,referral,1,0,1,0
9569223,54,corporate,search,1,1,1,0
9567646,85,corporate,referral,0,1,0,1
9566427,82,corporate,search,1,0,0,0
9565714,123,popular,referral,1,0,0,0
9559774,166,popular,search,0,1,0,1
9559307,121,popular,search,0,0,0,0
9558733,56,corporate,direct,0,1,0,1
9557673,31,corporate,search,0,1,1,0
9556576,217,popular,search,1,1,0,1
9554631,66,corporate,referral,0,1,1,0
9554250,204,corporate,referral,1,1,1,1
9553733,180,popular,direct,1,1,1,0
9553666,99,corporate,search,1,1,1,0
9552303,144,popular,search,1,0,0,0
9551221,46,corporate,referral,0,0,1,0
9550395,48,other,direct,1,0,1,1
9550062,121,popular,direct,1,1,1,0
9549538,34,popular,search,1,0,0,0
9548499,34,other,referral,0,1,1,0
9548453,152,other,referral,1,1,1,0
9547745,213,corporate,referral,1,0,1,1
9546926,106,corporate,referral,1,1,0,1
9546920,103,other,search,0,1,0,1
9545872,191,popular,search,1,0,0,0
9545202,133,corporate,direct,1,1,0,1
9544634,145,other,referral,0,0,1,0
9543886,82,corporate,search,0,1,0,0
9543679,57,corporate,referral,0,1,0,0
9542818,47,other,direct,1,1,1,0
9539532,92,other,direct,0,0,1,0
9539079,62,popular,direct,0,1,0,0
9538872,80,popular,search,0,1,0,0
9538782,157,other,direct,1,0,1,1
9537931,124,popular,referral,1,1,0,0
9536044,126,other,referral,0,0,1,0
9535415,152,corporate,referral,1,1,0,1
9533862,219,other,direct,0,0,0,0
9533123,207,other,direct,1,0,0,1
9532820,105,popular,direct,0,0,0,0
9530740,132,other,referral,1,0,1,0
9530614,54,corporate,search,0,0,1,0
9528836,97,corporate,search,1,0,0,0
9526682,157,corporate,search,0,1,0,1
9526436,42,popular,search,1,1,0,0
9526435,119,other,search,1,0,0,0
9525697,218,popular,direct,0,1,0,1
9525390,170,popular,direct,1,0,1,0
9522949,84,popular,referral,0,1,0,0
9521873,196,popular,referral,1,1,1,0
9521697,195,corporate,search,0,0,0,0
9521271,173,popular,search,0,1,1,0
9518957,213,corporate,direct,0,0,0,1
9518608,170,popular,search,0,0,1,0
9518050,49,other,referral,1,1,0,0
9515940,140,other,search,1,0,0,0
9515039,143,other,direct,1,0,1,1
9514896,42,other,referral,1,0,0,0
9514675,98,popular,direct,1,1,0,1
9513081,95,other,direct,0,1,0,0
9511810,187,popular,search,0,1,0,0
9510642,75,corporate,direct,0,0,1,0
9510156,93,popular,referral,1,1,0,0
9505997,186,popular,referral,0,1,1,0
9505822,47,popular,direct,1,1,1,0
9504790,36,popular,referral,0,1,0,0
9502906,208,corporate,search,1,0,0,1
9502832,28,popular,search,0,0,1,0
9502622,37,corporate,direct,0,1,0,1
9499201,190,other,direct,0,1,0,1
9499165,122,popular,direct,0,0,0,0
9498636,86,popular,direct,0,0,0,0
9497722,96,other,direct,1,0,0,0
9497702,24,other,referral,0,0,1,0
9497683,130,other,direct,1,0,0,0
9496497,170,popular,search,0,0,0,0
9496475,212,popular,referral,1,1,0,1
9495350,57,corporate,referral,0,1,1,0
9495115,96,popular,search,1,0,0,0
9494461,211,corporate,direct,0,0,0,1
9491649,167,other,direct,1,1,1,0
9490781,29,popular,search,1,1,1,0
9490015,58,other,direct,1,0,0,0
9489846,25,other,search,1,0,1,0
9489226,51,corporate,search,0,1,1,0
9488094,163,other,direct,1,0,1,1
9487960,181,other,direct,0,0,1,1
9486178,48,popular,referral,0,1,0,1
9485303,119,corporate,direct,1,1,1,0
9484794,53,popular,search,0,1,0,0
9482183,85,popular,direct,1,0,0,0
9482162,177,other,search,0,1,0,0
9478767,25,popular,referral,1,0,1,0
9478105,42,corporate,direct,0,1,0,1
9475420,21,corporate,referral,1,1,1,0
9475386,26,other,referral,1,0,0,0
9475313,201,popular,referral,0,1,1,0
9473944,171,corporate,search,0,1,0,0
9473359,98,popular,search,1,0,0,1
9470598,97,other,search,0,0,1,0
9470477,121,popular,direct,0,0,0,0
9468595,39,popular,direct,1,0,1,0
9467882,88,other,direct,0,1,1,0
9467560,36,popular,referral,0,1,0,0
9466091,154,popular,referral,1,1,1,0
9464328,165,popular,referral,0,0,1,0
9462053,129,corporate,direct,1,0,1,0
9458767,58,other,referral,1,1,1,0
9458736,60,other,search,0,0,0,1
9457420,96,corporate,search,0,0,0,0
9457175,23,popular,search,0,0,0,0
9456681,219,corporate,referral,1,0,1,0
9455434,111,popular,search,0,0,0,0
9455117,129,popular,search,1,0,0,0
9453836,166,corporate,referral,1,0,0,0
9453742,170,other,direct,1,0,1,1
9453711,33,corporate,direct,1,1,0,1
9453259,144,popular,search,1,0,0,0
9453104,198,corporate,search,1,0,1,0
9452566,177,popular,direct,1,0,1,0
9451913,25,popular,direct,0,0,1,0
9450911,205,corporate,direct,1,1,1,1
9450140,112,popular,search,1,1,1,0
9448324,41,corporate,search,0,0,0,0
9448007,215,corporate,search,0,0,0,0
9447596,114,popular,search,0,1,0,0
9446268,212,other,direct,1,0,1,1
9444374,135,corporate,direct,0,0,0,0
9442759,126,corporate,search,1,1,1,0
9442449,108,popular,referral,1,0,1,0
9442156,114,popular,direct,1,1,1,0
9441132,199,other,referral,0,0,1,0
9438969,96,popular,search,1,1,1,0
9436865,23,popular,search,0,1,1,0
9436504,52,other,referral,0,0,1,0
9434697,156,other,search,0,0,0,0
9433941,146,popular,search,1,1,1,0
9432538,40,other,search,0,1,0,0
9432436,58,popular,referral,0,1,0,0
9431104,146,popular,referral,1,1,1,0
9430898,184,popular,direct,1,1,1,0
9428388,64,corporate,referral,0,0,1,0
9428000,149,other,search,0,1,1,0
9427938,155,corporate,direct,0,1,0,1
9427570,146,other,search,0,1,0,1
9426368,75,popular,referral,0,0,1,0
9426294,187,corporate,referral,0,0,0,0
9426139,23,other,referral,1,1,0,0
9425872,30,other,referral,0,1,0,0
9425173,78,corporate,direct,1,0,0,0
9424205,40,popular,referral,1,1,1,0
9423481,109,other,referral,1,0,1,0
9422681,69,corporate,referral,1,0,0,0
9421510,157,corporate,search,0,1,1,0
9419924,48,popular,referral,0,0,1,0
9418614,23,other,direct,0,0,0,0
9417564,86,popular,search,0,1,0,0
9417276,127,popular,referral,1,0,0,0
9417146,54,other,search,0,0,0,0
9413042,46,other,referral,0,0,0,0
9411517,43,popular,direct,0,1,0,0
9410821,148,other,referral,1,0,1,0
9409835,173,corporate,direct,0,0,0,0
9408957,27,corporate,referral,0,1,1,0
9407067,196,corporate,referral,1,1,0,1
9406088,87,popular,direct,1,1,1,0
9403553,169,other,referral,1,1,1,0
9401972,153,popular,direct,0,0,1,0
9397977,38,popular,referral,1,1,0,0
9396939,157,popular,direct,1,0,0,0
9396201,181,popular,referral,1,1,1,0
9391980,61,corporate,search,0,1,1,0
9391933,206,corporate,direct,0,1,0,1
9390903,194,corporate,referral,1,0,1,0
9389921,38,corporate,referral,1,0,1,0
9387317,38,other,direct,1,0,0,0
9385708,99,corporate,direct,0,1,0,0
9385184,82,other,search,0,1,1,0
9385171,153,corporate,search,1,1,1,0
9384764,157,other,direct,1,0,0,0
9381404,116,corporate,direct,1,0,0,0
9380969,39,corporate,referral,0,1,1,0
9380142,66,other,direct,0,1,1,0
9379666,215,corporate,search,0,0,0,1
9378131,65,corporate,referral,1,0,0,0
9377425,63,popular,referral,1,0,0,0
9377139,160,other,direct,1,0,0,0
9376654,200,other,referral,0,1,0,0
9376065,159,corporate,referral,0,0,1,0
9374836,162,other,direct,1,0,1,1
9374172,83,popular,referral,0,0,1,0
9373617,204,popular,search,1,1,1,0
9372893,190,corporate,direct,0,1,0,1
9372698,98,corporate,search,1,1,1,0
9372143,87,corporate,referral,1,1,0,0
9371240,54,other,direct,1,1,0,1
9370651,200,other,direct,0,1,0,1
9370224,207,popular,referral,1,1,0,1
9369796,197,corporate,direct,0,1,0,1
9367433,142,other,referral,1,1,0,1
9365262,49,other,direct,0,0,0,0
9365229,118,corporate,referral,0,0,0,0
9364843,177,corporate,direct,0,1,0,1
9363918,69,popular,direct,1,1,1,1
9360994,24,popular,search,0,0,1,0
9360208,157,other,referral,1,1,1,0
9359761,112,popular,direct,0,1,0,0
9356384,72,popular,search,0,0,1,0
9356272,215,corporate,search,0,0,1,1
9355816,176,other,search,1,0,1,0
9354226,92,other,search,0,0,1,0
9352473,34,other,referral,1,1,0,0
9350698,138,other,referral,0,0,1,0
9350631,67,popular,search,1,0,0,0
9349788,44,popular,direct,0,1,0,0
9346030,193,corporate,direct,1,0,1,1
9343963,123,other,direct,1,0,1,0
9343309,73,popular,direct,0,1,1,1
9342729,57,corporate,direct,1,1,0,1
9340823,45,popular,referral,0,1,0,0
9339860,23,popular,search,0,0,0,0
9338470,46,popular,search,1,1,1,0
9338408,21,corporate,referral,0,1,1,0
9338137,124,other,direct,1,1,1,0
9337403,176,popular,search,1,1,0,1
9337220,208,popular,search,1,0,0,1
9336853,28,other,search,1,1,1,0
9336452,187,other,referral,0,0,1,0
9336190,208,popular,search,0,0,0,0
9334845,111,popular,search,0,1,1,0
9334208,82,corporate,referral,1,0,1,0
9333031,141,corporate,search,0,1,0,1
9331843,214,corporate,direct,0,1,1,1
9331068,44,other,referral,0,0,1,0
9330349,40,corporate,direct,1,1,1,0
9329550,35,other,referral,1,1,0,0
9329213,78,other,search,1,1,1,1
9328310,216,other,search,1,1,0,1
9328128,26,corporate,search,0,0,0,0
9326692,39,popular,referral,1,1,1,0
9326481,155,corporate,direct,1,0,1,1
9323303,60,popular,search,0,0,0,0
9323027,153,popular,direct,0,0,1,0
9321347,136,corporate,referral,1,0,0,0
9320329,214,popular,direct,1,1,1,0
9318773,114,popular,search,0,1,0,0
9318593,135,popular,direct,0,1,1,0
9317073,97,corporate,direct,0,0,1,0
9316308,170,other,search,1,1,1,0
9315232,102,other,direct,0,1,0,1
9314399,211,corporate,referral,1,1,1,0
9312476,133,other,search,1,0,0,0
9311624,62,other,referral,0,0,0,1
9309708,113,corporate,referral,1,1,0,1
9309635,200,other,search,1,0,1,1
9308106,96,corporate,referral,0,0,1,0
9306941,32,other,search,0,0,1,0
9305754,157,popular,direct,0,0,1,0
9304640,180,corporate,referral,0,1,1,0
